Unnamed: 0,English Name,Chinese Name,English Movie Genre,Chinese Movie Genre,BVID,Movie Runtime/s,likes,saves,coins,views
83,Evangelion: 3.33 You Can (Not) Redo,福音战士新剧场版：Q,Mecha/Sci-Fi/Battle,机战/科幻/战斗,BV1sx411V7qv,5748,204576,37197,110439,25258342
84,Evangelion: 1.11 You Are (Not) Alone,EVA新世纪福音战士新剧场版1.11:序,Sci-Fi/Mecha/Battle,科幻/机战/战斗,BV1sx411V7T9,6064,264753,40626,115697,29515899
85,Evangelion: Death And Rebirth,新世纪福音战士剧场版：死与新生,Sci-Fi/Mecha/Battle,科幻/机战/战斗,BV1sx411V7zJ,4414,144649,21896,52261,21290877
86,Crazy Racer,疯狂的赛车,Comedy/Action/Adventure,喜剧/动作/冒险,BV1Tf4y15739,6258,260173,36931,68162,23165501
87,My Little Pony Equestria Girls: Friendship Games,小马宝莉：小马国女孩—友谊大赛,Moe/Children/Fantasy,萌系/少儿/奇幻,BV1Ts411K7kB,4162,112683,11952,14992,24106722
88,My Own Swordsman,武林外传,Comedy/Action,喜剧/动作,BV1TW411b7VR,5576,187832,30932,96037,41987225
89,Words Bubble Up Like Soda Pop,言语如苏打般涌现,Animation,动画,BV1uf4y157Nq,5202,301567,103760,164516,19650707
90,No Time To Die,007：无暇赴死,Action/Thriller/Adventure/NovelAdaptation,动作/惊悚/冒险/小说改,BV1Um4y1U7Jb,9820,74576,24051,23409,13646179
91,Overlord: The Undead King,不死者之王,Hot-Blooded/Fantasy/Magic/AlternateWorld,热血/奇幻/魔法/架空,BV1Up411Z7EX,6142,102610,8045,44415,25596425
92,5 Centimeters Per Second,秒速5厘米,Tearjerker/SliceofLife,催泪/日常,BV1us41167E4,3790,,,,
93,Win The Kids,抓娃娃,Comedy,喜剧,BV1VmsBeQExs,8004,206612,55501,87493,32977047
94,The Founding Of A Republic,建国大业,Drama/History,剧情/历史,BV1WW411v7qr,8062,169450,34831,100908,19796922
95,Ip Man,叶问,Drama/Action/Biography/History,剧情/动作/传记/历史,BV1WW411v7zw,6382,113616,10720,41932,15416039
96,The King'S Avatar: For The Glory,全职高手之巅峰荣耀,Drama/Animation/Action,剧情/动画/动作,BV1xE411C7co,5914,101571,12298,72431,25496190
97,Shin Ultraman,新·奥特曼,Sci-Fi,科幻,BV1xP411g74E,6710,237749,64496,131959,30908120
98,Pleasant Goat And Big Big Wolf: Dunk For Future,喜羊羊与灰太狼之筐出未来,Comedy/Animation,喜剧/动画,BV1Xr4y1n713,5660,441099,80574,358536,24494145
99,One Piece Film: Red,航海王：红发歌姬,Animation/Adventure/Action/Fantasy,动画/冒险/动作/奇幻,BV1XV4y1B7Ld,6904,175954,47982,99138,19904736
100,Johnny English,憨豆特工,Comedy/Action/Adventure,喜剧/动作/冒险,BV1y4411N79b,5248,139745,23740,54027,19048301
101,Pacific Rim,环太平洋,Action/Sci-Fi/Adventure,动作/科幻/冒险,BV1yE411K7Qo,7880,405479,71959,180279,48892467
102,Uncle from Another World(13 episodes),异世界舅舅(13 episodes),ComicAdaptation/Fantasy/Magic/Isekai,漫画改/奇幻/魔法/穿越,BV1xa411R7qx,,261695,38247,83554,27775974
